Course Outcomes vs. Program Outcomes Curriculum Matrix ,,,,,,,,,,,,,,,,,,,,,,,,
Department: GCIS,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2012,,,,,,,,,,,,,,,,,,,,,,,,
,,GCIS Program Wide Outcomes,,,,,,,,,Applied Computer Science-Specific Outcomes ,,,Information Systems-Specific Outcomes ,,,,Software Engineering-Specific Outcomes ,,,,Web Development-Specific Outcomes,,
,•  Be knowledgeable about the basics of edge detection algorithms & texture modeling ,,,x,,,,,,,,,x,,,,,,,,,,,
,•  Be knowledgeable about the fundamental problems and importance of segmentation and grouping,,,x,x,,,,,,,,x,,,,,,,,,,,
,•  Have some experience with research in computer vision,,,,x,,,,,,,,x,,,,,,,,,,,
GCIS_644_0A,,,,,x,x,,,,,x,,,x,x,,x,,,,,,,
Knowldg-Based Systm,To build a basic knowledge-based system (KBS),,,,,x,,,,,x,,,,x,,,,,,,,,
,To specify and to design a KBS,,,,x,,,,,,,,,x,,,,,,,,,,
,To identify situations benefiting from a KBS ,,,,,x,,,,,,,,,,,x,,,,,,,
,To develop a state of awareness about the aspects  and components of KBS ,,,,x,,,,,,,,,,,,x,,,,,,,
GCIS_645_0A,,,,x,x,,,,,,,x,,,,,,,,,,,,
Intelligent Sys Technologies,•  Explain different uses of intelligent systems in organizations ,,,x,,,,,,,,x,,,,,,,,,,,,
,•  Identify the steps involved in developing an intelligent system using computational techniques,,,,x,,,,,,,x,,,,,,,,,,,,
,•  Use current data mining techniques in problem solving,,,x,,,,,,,,x,,,,,,,,,,,,
,•  Use genetic algorithm and neural network  techniques for intelligent systems design,,,,x,,,,,,,x,,,,,,,,,,,,
GENG_624_0A,,,,,,,,,,,,,,,,,,,,,,,,
Project Management,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Generated by EvalTools® on 2012-06-01,,,,,,,,,,,,,,,,,,,,,,,
,www.MAKTEAM.com,,,,,,,,,,,,,,,,,,,,,,,
